Prov_Name,age,sex,total,lower,upper
WEST SEPIK,55 to 59,m,4431.63375,4020.3731,4859.48914
WEST SEPIK,55 to 59,f,4106.0811,3725.0321,4502.50576
WEST SEPIK,60 to 64,m,3756.07982,3407.51135,4118.71336
WEST SEPIK,60 to 64,f,3249.09269,2947.57319,3562.77877
WEST SEPIK,65 to 69,m,2520.78122,2286.84986,2764.15192
WEST SEPIK,65 to 69,f,2087.13994,1893.45098,2288.64442
WEST SEPIK,70 to 74,m,1304.78415,1183.6987,1430.75551
WEST SEPIK,70 to 74,f,1109.19521,1006.26063,1216.28329
WEST SEPIK,75 to 79,m,658.82592,597.68613,722.43276
WEST SEPIK,75 to 79,f,510.84744,463.44022,560.16759
WEST SEPIK,80 +,m,747.61301,678.23367,819.79187
WEST SEPIK,80 +,f,616.36253,559.16339,675.86972
WESTERN,< 1,m,5281.62029,4406.57313,6229.54418
WESTERN,< 1,f,4972.47892,4148.64961,5864.91936
WESTERN,1 to 4,m,12066.34494,10067.2196,14231.96381
WESTERN,1 to 4,f,11478.64862,9576.89151,13538.79012
WESTERN,5 to 9,m,22509.42457,18780.1129,26549.32521
WESTERN,5 to 9,f,20532.23062,17130.49607,24217.27248
WESTERN,10 to 14,m,20487.44336,17093.12906,24164.44697
WESTERN,10 to 14,f,18780.06538,15668.62569,22150.63569
WESTERN,15 to 19,m,19866.97586,16575.45925,23432.62048
WESTERN,15 to 19,f,18000.11152,15017.89287,21230.69886
WESTERN,20 to 24,m,16894.63071,14095.56567,19926.81082
WESTERN,20 to 24,f,15924.60407,13286.25089,18782.68771
WESTERN,25 to 29,m,15108.60192,12605.44218,17820.23279
WESTERN,25 to 29,f,14483.76494,12084.12681,17083.25259
WESTERN,30 to 34,m,11412.0139,9521.29668,13460.19608
WESTERN,30 to 34,f,11071.19373,9236.94284,13058.20688
WESTERN,35 to 39,m,10178.72552,8492.3368,12005.56208
WESTERN,35 to 39,f,9996.29934,8340.13458,11790.39479
WESTERN,40 to 44,m,7519.89123,6274.01229,8869.53095
WESTERN,40 to 44,f,6775.98566,5653.35535,7992.11221
WESTERN,45 to 49,m,6910.34746,5765.45638,8150.58873
WESTERN,45 to 49,f,6082.32922,5074.62237,7173.96112
WESTERN,50 to 54,m,5067.51531,4227.94059,5977.0125
WESTERN,50 to 54,f,4599.97995,3837.86545,5425.56578
WESTERN,55 to 59,m,3442.06526,2871.79151,4059.83324
WESTERN,55 to 59,f,3118.72305,2602.01991,3678.45887
WESTERN,60 to 64,m,2680.68174,2236.55232,3161.79967
WESTERN,60 to 64,f,2469.85388,2060.65395,2913.13328
WESTERN,65 to 69,m,1752.16524,1461.87038,2066.63679
WESTERN,65 to 69,f,1586.12465,1323.33902,1870.79589
WESTERN,70 to 74,m,935.07073,780.15028,1102.89345
WESTERN,70 to 74,f,896.8377,748.25161,1057.79851
WESTERN,75 to 79,m,585.51158,488.50531,690.59683
WESTERN,75 to 79,f,583.32683,486.68253,688.01998
WESTERN,80 +,m,583.32683,486.68253,688.01998
WESTERN,80 +,f,637.94545,532.25206,752.44132
WESTERN HIGHLANDS,< 1,m,6394.47968,5695.99117,7172.51928
WESTERN HIGHLANDS,< 1,f,5594.59288,4983.47844,6275.30734
WESTERN HIGHLANDS,1 to 4,m,18300.48707,16301.46907,20527.17389
WESTERN HIGHLANDS,1 to 4,f,17022.20643,15162.81893,19093.3602
WESTERN HIGHLANDS,5 to 9,m,35108.8776,31273.82786,39380.70244
WESTERN HIGHLANDS,5 to 9,f,31292.49462,27874.32003,35099.96625
WESTERN HIGHLANDS,10 to 14,m,34052.10408,30332.48893,38195.34743
WESTERN HIGHLANDS,10 to 14,f,28946.67275,25784.73943,32468.7197
WESTERN HIGHLANDS,15 to 19,m,33007.63651,29402.11174,37023.79569
WESTERN HIGHLANDS,15 to 19,f,30854.09512,27483.80824,34608.22509
WESTERN HIGHLANDS,20 to 24,m,26008.627,23167.62537,29173.19124
WESTERN HIGHLANDS,20 to 24,f,24722.65514,22022.12414,27730.75051
WESTERN HIGHLANDS,25 to 29,m,21935.35728,19539.29133,24604.31198
WESTERN HIGHLANDS,25 to 29,f,25402.55892,22627.75996,28493.38065
WESTERN HIGHLANDS,30 to 34,m,18238.95732,16246.6604,20458.15759
WESTERN HIGHLANDS,30 to 34,f,23013.66622,20499.8133,25813.82269
WESTERN HIGHLANDS,35 to 39,m,18088.20942,16112.37916,20289.06765
WESTERN HIGHLANDS,35 to 39,f,21198.53848,18882.95749,23777.84176
WESTERN HIGHLANDS,40 to 44,m,15056.33079,13411.68188,16888.28932
WESTERN HIGHLANDS,40 to 44,f,15233.22883,13569.25681,17086.71119
WESTERN HIGHLANDS,45 to 49,m,12664.36161,11280.99478,14205.28054
WESTERN HIGHLANDS,45 to 49,f,11636.81472,10365.68997,13052.70829
WESTERN HIGHLANDS,50 to 54,m,10010.89097,8917.37083,11228.95248
WESTERN HIGHLANDS,50 to 54,f,8648.00692,7703.35876,9700.24137
WESTERN HIGHLANDS,55 to 59,m,5753.03199,5124.61077,6453.02432
WESTERN HIGHLANDS,55 to 59,f,5054.66929,4502.53235,5669.68928
WESTERN HIGHLANDS,60 to 64,m,6108.36632,5441.13085,6851.59347
WESTERN HIGHLANDS,60 to 64,f,5408.46537,4817.68221,6066.53302
WESTERN HIGHLANDS,65 to 69,m,3940.98074,3510.4954,4420.4942
WESTERN HIGHLANDS,65 to 69,f,3191.85599,2843.19983,3580.22071
WESTERN HIGHLANDS,70 to 74,m,2825.75395,2517.08823,3169.57371
WESTERN HIGHLANDS,70 to 74,f,1965.87564,1751.13705,2205.07088
WESTERN HIGHLANDS,75 to 79,m,1442.87273,1285.26334,1618.4323
WESTERN HIGHLANDS,75 to 79,f,1016.77918,905.71329,1140.49441
WESTERN HIGHLANDS,80 +,m,1335.19566,1189.34817,1497.65377
WESTERN HIGHLANDS,80 +,f,926.0228,824.8705,1038.69536
