Prov_Name,age,sex,total,lower,upper
EASTERN HIGHLANDS,45 to 49,f,17681.09185,16309.90915,19163.33587
EASTERN HIGHLANDS,50 to 54,m,17404.87557,16055.11365,18863.96378
EASTERN HIGHLANDS,50 to 54,f,12595.4626,11618.67448,13651.36736
EASTERN HIGHLANDS,55 to 59,m,10112.76564,9328.51264,10960.54057
EASTERN HIGHLANDS,55 to 59,f,7503.33415,6921.44463,8132.35481
EASTERN HIGHLANDS,60 to 64,m,9427.09933,8696.0203,10217.39338
EASTERN HIGHLANDS,60 to 64,f,6534.95235,6028.16161,7082.79148
EASTERN HIGHLANDS,65 to 69,m,5608.81539,5173.84731,6079.01447
EASTERN HIGHLANDS,65 to 69,f,3886.52561,3585.12247,4212.34143
EASTERN HIGHLANDS,70 to 74,m,3093.62239,2853.70952,3352.96742
EASTERN HIGHLANDS,70 to 74,f,1930.26439,1780.57086,2092.08261
EASTERN HIGHLANDS,75 to 79,m,1283.59333,1184.04964,1391.19972
EASTERN HIGHLANDS,75 to 79,f,831.89846,767.38407,901.6383
EASTERN HIGHLANDS,80 +,m,1088.6171200000001,1004.194,1179.87824
EASTERN HIGHLANDS,80 +,f,760.40719,701.437,824.15376
ENGA,< 1,m,5412.77241,4622.40478,6387.00931
ENGA,< 1,f,4792.09709,4092.35985,5654.61956
ENGA,1 to 4,m,19164.358,16365.99757,22613.72248
ENGA,1 to 4,f,17233.81594,14717.35134,20335.70501
ENGA,5 to 9,m,37091.39573,31675.34714,43767.42124
ENGA,5 to 9,f,31938.58149,27274.94169,37687.15958
ENGA,10 to 14,m,37530.70488,32050.50881,44285.80099
ENGA,10 to 14,f,30398.98427,25960.15493,35870.45253
ENGA,15 to 19,m,37274.77707,31831.95132,43983.80912
ENGA,15 to 19,f,31908.35379,27249.12781,37651.49124
ENGA,20 to 24,m,27372.18451,23375.32545,32298.86356
ENGA,20 to 24,f,26052.24187,22248.11951,30741.34639
ENGA,25 to 29,m,23736.80051,20270.77659,28009.15216
ENGA,25 to 29,f,27422.564,23418.34857,32358.31078
ENGA,30 to 34,m,22537.76865,19246.82616,26594.30833
ENGA,30 to 34,f,26128.8187,22313.51467,30831.70617
